Date,AGG,GLD,IWM,QQQ,SPY,TLT,VTI
2021-03-04,98.27821350097656,159.0399932861328,200.48097229003906,295.1072082519531,351.640625,117.98725128173828,183.7664031982422
2021-03-05,98.20947265625,159.13999938964844,204.7314910888672,299.5517578125,358.1095275878906,118.21703338623047,187.08404541015625
2021-03-08,97.82272338867188,157.49000549316406,205.70008850097656,291.0701904296875,356.32659912109375,117.29794311523438,186.17079162597656
2021-03-09,98.19227600097656,160.83999633789062,210.02589416503906,302.5503234863281,361.41400146484375,118.92343139648438,189.0596923828125
2021-03-10,98.35555267333984,161.66000366210938,213.67454528808594,301.6867370605469,363.6636657714844,119.16166687011719,190.4110107421875
2021-03-11,98.34693908691406,161.52000427246094,218.3765106201172,308.6349792480469,367.3509826660156,118.3021240234375,192.89923095703125
2021-03-12,97.78840637207031,161.49000549316406,219.66481018066406,306.13128662109375,367.84564208984375,115.79158782958984,193.2813262939453
2021-03-15,97.89153289794922,162.1999969482422,220.44532775878906,309.4015808105469,370.0393371582031,116.47242736816406,194.6326446533203
2021-03-16,97.85709381103516,162.35000610351562,216.75900268554688,311.0997619628906,369.5726318359375,116.00439453125,193.8498077392578
2021-03-17,97.8485336303711,163.50999450683594,218.4611358642578,312.3807678222656,370.83282470703125,115.13633728027344,194.5860595703125
2021-03-18,97.47039794921875,162.55999755859375,211.81260681152344,302.8123779296875,365.437255859375,113.97041320800781,191.0447235107422
2021-03-19,97.54776000976562,163.24000549316406,213.41123962402344,303.8798522949219,364.7611083984375,114.67675018310547,191.28704833984375
2021-03-22,97.73681640625,163.0,211.80316162109375,309.5785217285156,367.6737976074219,115.9618148803711,192.32144165039062
2021-03-23,97.98603057861328,161.80999755859375,204.12022399902344,308.2279968261719,364.77984619140625,117.0085678100586,190.13143920898438
2021-03-24,98.10633850097656,162.3699951171875,199.3994903564453,303.02960205078125,362.9255676269531,117.63835144042969,188.55650329589844
2021-03-25,98.05477142333984,161.77999877929688,204.12721252441406,302.5049743652344,364.96722412109375,116.7107162475586,189.95159912109375
2021-03-26,97.89153289794922,162.24000549316406,207.8487548828125,307.04254150390625,370.8486022949219,116.30226135253906,193.0558624267578
